Phage,Phage_Accession,Host_Name,Host_Accession,Affinity,Source
"Bacillus phage MBMR7, complete genome",PX674298.1,Xanthomonas axonopodis,NZ_CP167870,0,Module_A_cross_genus:Bacillus|NCBI:PX674298.1
"Bacillus phage MBMR7, complete genome",PX674298.1,Xanthomonas citri,NZ_CP118477,0,Module_A_cross_genus:Bacillus|NCBI:PX674298.1
"Bacillus phage P37, complete genome",PX654436.1,Xanthomonas oryzae pv. oryzae,NZ_CP150073,0,Module_A_cross_genus:Bacillus|NCBI:PX654436.1
"Bacillus phage P37, complete genome",PX654436.1,Xanthomonas campestris pv. campestris,NZ_CP155977,0,Module_A_cross_genus:Bacillus|NCBI:PX654436.1
"Bacillus phage P37, complete genome",PX654436.1,Xanthomonas axonopodis,NZ_CP167870,0,Module_A_cross_genus:Bacillus|NCBI:PX654436.1
"Bacillus phage P37, complete genome",PX654436.1,Xanthomonas citri,NZ_CP118477,0,Module_A_cross_genus:Bacillus|NCBI:PX654436.1
"Bacillus phage vB_Bl_WP7, complete genome",PX516693.1,Xanthomonas oryzae pv. oryzae,NZ_CP150073,0,Module_A_cross_genus:Bacillus|NCBI:PX516693.1
"Bacillus phage vB_Bl_WP7, complete genome",PX516693.1,Xanthomonas campestris pv. campestris,NZ_CP155977,0,Module_A_cross_genus:Bacillus|NCBI:PX516693.1
"Bacillus phage vB_Bl_WP7, complete genome",PX516693.1,Xanthomonas axonopodis,NZ_CP167870,0,Module_A_cross_genus:Bacillus|NCBI:PX516693.1
"Bacillus phage vB_Bl_WP7, complete genome",PX516693.1,Xanthomonas citri,NZ_CP118477,0,Module_A_cross_genus:Bacillus|NCBI:PX516693.1
"Bacillus phage CM2 DNA, complete genome",LC901396.1,Xanthomonas oryzae pv. oryzae,NZ_CP150073,0,Module_A_cross_genus:Bacillus|NCBI:LC901396.1
"Bacillus phage CM2 DNA, complete genome",LC901396.1,Xanthomonas campestris pv. campestris,NZ_CP155977,0,Module_A_cross_genus:Bacillus|NCBI:LC901396.1
"Bacillus phage CM2 DNA, complete genome",LC901396.1,Xanthomonas axonopodis,NZ_CP167870,0,Module_A_cross_genus:Bacillus|NCBI:LC901396.1
"Bacillus phage CM2 DNA, complete genome",LC901396.1,Xanthomonas citri,NZ_CP118477,0,Module_A_cross_genus:Bacillus|NCBI:LC901396.1
"Bacillus phage Novomoskovsk, complete genome",NC_102382.1,Xanthomonas oryzae pv. oryzae,NZ_CP150073,0,Module_A_cross_genus:Bacillus|NCBI:NC_102382.1
"Bacillus phage Novomoskovsk, complete genome",NC_102382.1,Xanthomonas campestris pv. campestris,NZ_CP155977,0,Module_A_cross_genus:Bacillus|NCBI:NC_102382.1
"Bacillus phage Novomoskovsk, complete genome",NC_102382.1,Xanthomonas axonopodis,NZ_CP167870,0,Module_A_cross_genus:Bacillus|NCBI:NC_102382.1
"Bacillus phage Novomoskovsk, complete genome",NC_102382.1,Xanthomonas citri,NZ_CP118477,0,Module_A_cross_genus:Bacillus|NCBI:NC_102382.1
"Bacillus phage Bolokhovo, complete genome",NC_102606.1,Xanthomonas oryzae pv. oryzae,NZ_CP150073,0,Module_A_cross_genus:Bacillus|NCBI:NC_102606.1
"Bacillus phage Bolokhovo, complete genome",NC_102606.1,Xanthomonas campestris pv. campestris,NZ_CP155977,0,Module_A_cross_genus:Bacillus|NCBI:NC_102606.1
"Bacillus phage Bolokhovo, complete genome",NC_102606.1,Xanthomonas axonopodis,NZ_CP167870,0,Module_A_cross_genus:Bacillus|NCBI:NC_102606.1
"Bacillus phage Bolokhovo, complete genome",NC_102606.1,Xanthomonas citri,NZ_CP118477,0,Module_A_cross_genus:Bacillus|NCBI:NC_102606.1
"Bacillus phage B13S, complete genome",OL333533.1,Xanthomonas oryzae pv. oryzae,NZ_CP150073,0,Module_A_cross_genus:Bacillus|NCBI:OL333533.1
"Bacillus phage B13S, complete genome",OL333533.1,Xanthomonas campestris pv. campestris,NZ_CP155977,0,Module_A_cross_genus:Bacillus|NCBI:OL333533.1
"Bacillus phage B13S, complete genome",OL333533.1,Xanthomonas axonopodis,NZ_CP167870,0,Module_A_cross_genus:Bacillus|NCBI:OL333533.1
"Bacillus phage B13S, complete genome",OL333533.1,Xanthomonas citri,NZ_CP118477,0,Module_A_cross_genus:Bacillus|NCBI:OL333533.1
"Bacillus phage JBA6, complete genome",OK625815.1,Xanthomonas oryzae pv. oryzae,NZ_CP150073,0,Module_A_cross_genus:Bacillus|NCBI:OK625815.1
"Bacillus phage JBA6, complete genome",OK625815.1,Xanthomonas campestris pv. campestris,NZ_CP155977,0,Module_A_cross_genus:Bacillus|NCBI:OK625815.1
"Bacillus phage JBA6, complete genome",OK625815.1,Xanthomonas axonopodis,NZ_CP167870,0,Module_A_cross_genus:Bacillus|NCBI:OK625815.1
