Phage,confidence
"Staphylococcus phage vB_SauP_RLup12, complete genome",0.0408
"Staphylococcus phage vB_Sep_steph3, complete genome",0.0408
"Staphylococcus phage vB_Sep_steph4, complete genome",0.0408
"Staphylococcus phage vB_SeqP_SEP, complete genome",0.0408
"Stenotrophomonas phage ANB28, complete genome",0.0408
"Stenotrophomonas phage BCVI_Sma-b21phi, complete genome",0.0408
"Stenotrophomonas phage BCVI_Sma-b22phi, complete genome",0.0408
"Stenotrophomonas phage BCVI_Sma-b23phi, complete genome",0.0408
"Stenotrophomonas phage BCVI_Sma-b24phi, complete genome",0.0408
"Stenotrophomonas phage BUCT798, complete genome",0.0408
"Stenotrophomonas phage BUCT799, complete genome",0.0408
"Stenotrophomonas phage BUCTxx100, complete genome",0.0408
"Stenotrophomonas phage BUCTxx99, complete genome",0.0408
"Stenotrophomonas phage CM2, complete genome",0.0408
"Stenotrophomonas phage CP-p-PMA-23011, complete genome",0.0408
"Stenotrophomonas phage KB824, complete genome",0.0408
"Stenotrophomonas phage Passau, complete genome",0.0408
"Stenotrophomonas phage Pirna, complete genome",0.0408
"Stenotrophomonas phage Pokken, complete genome",0.0408
"Stenotrophomonas phage Potsdam, complete genome",0.0408
"Stenotrophomonas phage RAS14, complete genome",0.0408
"Stenotrophomonas phage S28phi1, complete genome",0.0408
"Stenotrophomonas phage S28phi2, complete genome",0.0408
"Stenotrophomonas phage S72, complete genome",0.0408
"Stenotrophomonas phage SB2, complete genome",0.0510
"Stenotrophomonas phage SB5, complete genome",0.0510
"Stenotrophomonas phage SBP1, complete genome",0.0408
"Stenotrophomonas phage SBP2phi1, complete genome",0.0408
"Stenotrophomonas phage SBP2phi2, complete genome",0.0408
"Stenotrophomonas phage SBP3.1phi1, complete genome",0.0408
"Stenotrophomonas phage SBP3.1phi2, complete genome",0.0408
"Stenotrophomonas phage SBP3.1phi2.1, complete genome",0.0408
"Stenotrophomonas phage SBP3.2phi1, complete genome",0.0408
"Stenotrophomonas phage SBP4phi1, complete genome",0.0408
"Stenotrophomonas phage SBP4phi2, complete genome",0.0408
"Stenotrophomonas phage SBP5phi1, complete genome",0.0408
"Stenotrophomonas phage SBP5phi2, complete genome",0.0408
"Stenotrophomonas phage SBP6phi1, complete genome",0.0408
"Stenotrophomonas phage SBP7phi1, complete genome",0.0408
"Stenotrophomonas phage SOVA965, complete genome",0.0510
"Stenotrophomonas phage Siegen, complete genome",0.0408
"Stenotrophomonas phage Silvanus, complete genome",0.0102
"Stenotrophomonas phage Solingen, complete genome",0.0408
"Stenotrophomonas phage StM171, complete genome",0.0408
"Stenotrophomonas phage StenM_174, complete genome",0.0408
"Stenotrophomonas phage StenR_269, complete genome",0.0408
"Stenotrophomonas phage Stm18, complete genome",0.0408
"Stenotrophomonas phage TPWB-10, complete genome",0.0408
"Stenotrophomonas phage YB07, complete genome",0.0408
"Stenotrophomonas phage Yut1, complete genome",0.0408
"Stenotrophomonas phage Yut2, complete genome",0.0408
"Stenotrophomonas phage Yut3, complete genome",0.0408
"Stenotrophomonas phage Yut4, complete genome",0.0408
"Stenotrophomonas phage c9-N, complete genome",0.0408
"Stenotrophomonas phage cm3, complete genome",0.0408
"Stenotrophomonas phage vB_SmaM_Bhz51, complete genome",0.0408
"Stenotrophomonas phage vB_SmaM_Ps15, complete genome",0.0408
"Stenotrophomonas phage vB_SmaM_QH202, complete genome",0.0408
"Stenotrophomonas phage vB_SmaS-AXL_1, complete genome",0.0408
"Stenotrophomonas phage vB_SmaS_BCU1, complete genome",0.0408
"Stenotrophomonas phage vB_SmaS_Bhz54, complete genome",0.0408
